text,user,location,Subject,state
" Donald Trump, Jr., laughing, says the 1,004 Americans who died of COVID-19 over the past 24 hours are ""almost nothing.""‚?¶",realdonaIdump,"Washington, DC",Donald Trump,Washington
" I did NOT fight cancer twice and win, battle Lupus every day to live through 4 more years of Donald Trump.He will DEST‚?¶",sharonmwinner,"Anchorage, AK",Donald Trump,Alaska
The president's son delivered a whopper during a Fox News interview. ,HuffPostEnt,"New York, NY",Donald Trump,New York
 Lil Jon has the BEST response when asked to support Donald Trump's re-election like Lil Wayne and Lil Pump.  ‚?¶,Lynnjoh16722095,"California, USA",Donald Trump,California
"  ""Just the facts, ma'am""Thanks to lyin' Donald Trump-Over 23M Americans on unemployment!Tens of thousands of‚?¶",MarifaP,"Longwood, FL",Donald Trump,Florida
 ‚??It is currently unclear whether Facebook is giving Donald Trump an unfair advantage..but it is abundantly clear Facebo‚?¶,NewsroomJim,"New York, NY",Donald Trump,New York
 At the precise moment Donald Trump was impeached for expressing concern about potential Hunter Biden corruption in Ukraine‚?¶,Upson4WV,"Jefferson County, WV",Donald Trump,West Virginia
" ""It's like a gangster culture,"" Robert De Niro says of Donald Trump's presidency. ""He has no concept about what the right thing‚?¶",chilakeel,"Milwaukee, WI",Donald Trump,Wisconsin
 Americans plan widespread protests if Donald Trump interferes with election || Via: Reuters ,Angel2daMax,"East Bay, CA",Donald Trump,California
" Trump is going to try to make his re-election his final giant con, losing the election but keeping the presidency. Massive l‚?¶",supapally,"Maine, USA",Donald Trump,Maine
" Senator Collins was asked *three times* last night if she supports Donald Trump's reelection, and she refused to answer eac‚?¶",rob0349,"New York, USA",Donald Trump,New York
 Donald Trump has gotten:-$885 million in subsidies for his real estate empire-$287 million of his debt canceled-A $72.9‚?¶,Fatboy_ElNegro,"Mesquite, TX",Donald Trump,Texas
" I support Donald Trump, do you?",RajChennai7,"Washington, USA ",Donald Trump,Washington
" Donald Trump Jr.: ""Why aren't they talking about deaths? Oh, oh, because the number is almost nothing because we've gott‚?¶",timpeters420,"Plymouth, IN",Donald Trump,Indiana
 ??∫??∏??∫??∏??∫??∏God Bless America &amp; God Bless Donald J. Trump! ??∫??∏??∫??∏??∫??∏#RNC2020  #Trump2020 #KAG #MAGA  #RedNationRising ‚?¶,suemayonline,"Beaverton, OR",Donald Trump,Oregon
" It is Friday, October 30, 2020. One citizen, I call for the removal from office by any legal means, the impeached fascist‚?¶",FentonHolland,"Jacksonville,Florida",Donald Trump,Florida
 This is Donald Trump‚??s last Thursday as president.,ANN13951880,"Ohio, USA",Donald Trump,Ohio
" Donald Trump Jr.: ""Why aren't they talking about deaths? Oh, oh, because the number is almost nothing because we've gott‚?¶",salthegal123,Maryland,Donald Trump,Maryland
" Biden couldn‚??t fill a high school gym, but Donald Trump (????èº) is behind in the polls? ",WREN_Nigeria,"Houston, TX",Donald Trump,Texas
"  I don‚??t want Hunter Biden‚??s laptop. I want Donald Trump‚??s taxes, his medical records, Ivanka‚??s and Jared‚?¶",SandHillInsight,"Menlo Park, CA",Donald Trump,California
" If you want to primary Biden &amp; Harris in 2024 after they beat Donald Trump, your best bet is to join the #YangGang, &amp; we'd l‚?¶",PR4GM47IC,"Albuquerque, NM",Donald Trump,New Mexico
" . endorses #BidenHarris2020, stating that they will ‚??restore steadiness and civility to the White House, and thus‚?¶",jeffl76,"Maine, United States",Donald Trump,Maine
" Biden couldn‚??t fill a high school gym, but Donald Trump (????èº) is behind in the polls? ",Karen10290453,"Fort Myers, FL",Donald Trump,Florida
" ‚??This is the entire Republican strategy in 2020: not to win the election but to make the winner unknowable, so that Trump ca‚?¶",Cozy1950,"Nebraska, USA",Donald Trump,Nebraska
 The FBI was investigating Hunter Biden's overseas business deals in December 2019 while Donald Trump was being impeached‚?¶,WREN_Nigeria,"Houston, TX",Donald Trump,Texas
" Biden couldn‚??t fill a high school gym, but Donald Trump (????èº) is behind in the polls? ",JerryTravone,"New Jersey, USA",Donald Trump,New Jersey
 ??• POLL ??•Who are you voting for in the Presidential Election?President Trump already has my vote??ç‚?¶ ,cindy_mcphee,"California, USA",Donald Trump,California
 There is no greater supporter of Donald Trump in the world than Mark Zuckerberg / .No one has done more to elect‚?¶,MarySager0622,"Indiana, USA",Donald Trump,Indiana
 America‚??s reputation abroad has plunged during Donald Trump‚??s presidency. Confidence that he will do the right thing in w‚?¶,sunshine_toni,"Pennsylvania, USA",Donald Trump,Pennsylvania
 Fact check here: ,armanwalker,"Los Angeles, California",Donald Trump,California
 Please tell me y‚??all aren‚??t taking Lil Wayne seriously! Donald Trump said that he loves ‚ù§Ô∏è the uneducated this is not surp‚?¶,RGinHarlem,"Harlem, New York",Donald Trump,New York
 Fascist greedy grifter Trump screws the middle class and poor again ?§¨???he wants to completely unleash greedy corporations ‚?? and‚?¶,LesterMoe6,"Washington, DC",Donald Trump,Washington
" Biden couldn‚??t fill a high school gym, but Donald Trump (????èº) is behind in the polls? ",CiAnDy3,"Newton, MA",Donald Trump,Massachusetts
 Pollak: 11 Shining Successes of President Donald Trump‚??s First Term  via ,BARB4TRUMP,"California, USA",Donald Trump,California
 Pollak: 11 Shining Successes of President Donald Trump‚??s First Term  via ,Jason_9905,Georgia,Donald Trump,Georgia
 . on Lil Wayne endorsing Trump: ‚??I‚??m really sick of you gremlin degenerates who come out here and push‚?¶,audiojoe13,"Baltimore, MD",Donald Trump,Maryland
 There is no greater supporter of Donald Trump in the world than Mark Zuckerberg / .No one has done more to elect‚?¶,1473music,"Ann Arbor, MI",Donald Trump,Michigan
 This is Donald Trump‚??s last Thursday as president.,Pagecamper1,"Living in my Head, NC ",Donald Trump,North Carolina
 Remember... it‚??s not just Donald Trump being voted out.... it‚??s his entire family and garbage administration that‚??ll be ki‚?¶,WilliamMMcKee,"Virginia Beach, VA",Donald Trump,Virginia
 Donald Trump has not seen it as his duty to represent the majority of Americans who did not vote for him. Joe Biden would‚?¶,DianeEugenio,"Florida, USA",Donald Trump,Florida
 ‚??Shoot Black People‚?? is the battle cry Right Wing Extremists chant in the name of Donald Trump.  Is this the kind of g‚?¶,ResistOrganize,"Washington, DC",Donald Trump,Washington
"‚??The document, a 64-page composition that was later disseminated by close associates of President Donald Trump, app‚?¶ ",louisfarber,"Tempe, Arizona",Donald Trump,Arizona
Three Ballots turned in tonight for Justin Forsman and Donald J. Trump. ,ForsmanJustin,"Vancouver, WA",Donald Trump,Washington
" Senator Collins was asked *three times* last night if she supports Donald Trump's reelection, and she refused to answer eac‚?¶",redirectloop,"Los Angeles, CA",Donald Trump,California
" Biden couldn‚??t fill a high school gym, but Donald Trump (????èº) is behind in the polls? ",fbelad,"Delaware, USA",Donald Trump,Delaware
 Those who didn't vote in 2016 are showing up early in droves ‚?? and more are Democrats. ,DianeEugenio,"Florida, USA",Donald Trump,Florida
 ??• POLL ??•Who are you voting for in the Presidential Election?President Trump already has my vote??ç‚?¶ ,cindy_mcphee,"California, USA",Donald Trump,California
" Biden couldn‚??t fill a high school gym, but Donald Trump (????èº) is behind in the polls? ",2013_Lynne,Indiana,Donald Trump,Indiana
 Mainstream media and their friends in Silicon Valley have covered up and actively suppressed the Hunter Biden corruption‚?¶,ChristopherOrp1,"Queens, NY",Donald Trump,New York
" Trump is going to try to make his re-election his final giant con, losing the election but keeping the presidency. Massive l‚?¶",PMIA7,"Oak Brook, IL",Donald Trump,Illinois
 ‚??My choice in the 2020 general election is between a personally offensive outsider who signs good policies into law and a‚?¶,Freedom77027217,"Fairfax, VA",Donald Trump,Virginia
" CIVIL FRAUD INDICTMENTS LIKELYWith SCOTUS opening the complete tax record to SDNY, an immediate charge is predicted. #‚?¶",NadelleWilson,"California, USA",Donald Trump,California
 Mainstream media and their friends in Silicon Valley have covered up and actively suppressed the Hunter Biden corruption‚?¶,NomadCovfefe,"North Carolina, USA",Donald Trump,North Carolina
 NEW VIDEO! #PleaseSaveTheseChildren  If you don't have a bright line for crimes against children you don't have a line.‚?¶,LOYALFAN1,"Connecticut, USA",Donald Trump,Connecticut
" ""It's like a gangster culture,"" Robert De Niro says of Donald Trump's presidency. ""He has no concept about what the right thing‚?¶",margaretjg24,"Morristown, TN",Donald Trump,Tennessee
 Pissed off young people have the power to defeat Donald Trump. Fucking vote.  ,mediccaptfm,"Florida, USA",Donald Trump,Florida
" Biden couldn‚??t fill a high school gym, but Donald Trump (????èº) is behind in the polls? ",Patrick19372738,"East Jacksonville, FL",Donald Trump,Florida
 Fox News cut away from Donald Trump's campaign rally in Florida and aired Joe Biden's campaign rally speech in full.,IamLucyRicardo,"New York, USA",Donald Trump,New York
 Donald Trump 2020 the best President ever.,Jesseba67848426,"Houston, TX",Donald Trump,Texas
 Pollak: 11 Shining Successes of President Donald Trump‚??s First Term  via ,Cuds_1246,"Philadelphia, PA",Donald Trump,Pennsylvania
" It is Friday, October 30, 2020. One citizen, I call for the removal from office by any legal means, the impeached fascist‚?¶",ASatMV,"California, USA",Donald Trump,California
" Senator Collins was asked *three times* last night if she supports Donald Trump's reelection, and she refused to answer eac‚?¶",Lauryn2000,"Bronx, NY",Donald Trump,New York
 The FBI was investigating Hunter Biden's overseas business deals in December 2019 while Donald Trump was being impeached‚?¶,BurnsBuLinda91,"Texas, USA",Donald Trump,Texas
 There is no greater supporter of Donald Trump in the world than Mark Zuckerberg / .No one has done more to elect‚?¶,wbtegra,"Charleston, SC",Donald Trump,South Carolina
"Jack Nicklaus Says He Voted For Donald Trump, Encourages Others To As Well If They Don‚??t Want Country To ‚??Evolve In‚?¶ ",shrstraker,"Florida, USA",Donald Trump,Florida
 ??• POLL ??•Who are you voting for in the Presidential Election?President Trump already has my vote??ç‚?¶ ,cindy_mcphee,"California, USA",Donald Trump,California
" In conjunction with The Lincoln Project, San Antonio Spurs' Gregg Popovich--who has been an outspoken critic of President Do‚?¶",kmctee,"Austin, TX",Donald Trump,Texas
 Donald Trump is on track to become the worst jobs president in modern American history. ,JoeForMissouri,"St. Louis, MO",Donald Trump,Missouri
 Lil Jon has the BEST response when asked to support Donald Trump's re-election like Lil Wayne and Lil Pump.  ‚?¶,traceygaughran,"Baltimore, MD",Donald Trump,Maryland
 Pollak: 11 Shining Successes of President Donald Trump‚??s First Term  via ,_ericroyer,"California, USA",Donald Trump,California
" So much time and energy squandered because we entrusted the White House to the most corrupt, incompetent person imaginable.‚?¶",SFinEville,"Oakland, CA",Donald Trump,California
 The FBI was investigating Hunter Biden's overseas business deals in December 2019 while Donald Trump was being impeached‚?¶,SampleATL,"ATL, GA",Donald Trump,Georgia
 GOD BLESS THE U.S.A. AND PRESIDENT DONALD TRUMP ** BLANCHE  via ,BlancheBullshit,"Los Angeles, CA",Donald Trump,California
" A fake ""intelligence"" document about Hunter Biden that was later disseminated by close associates of President Donald‚?¶",OMAHAGEMGIRL,"Omaha, NE",Donald Trump,Nebraska
GOD BLESS THE U.S.A. AND PRESIDENT DONALD TRUMP ** BLANCHE  via ,BlancheBullshit,"Los Angeles, CA",Donald Trump,California
" BREAKING:  Donald Trump just called the process of counting all the votes, ""stealing an election.""How can anyone suppo‚?¶",anorsowrthy,"Snohomish, WA",Donald Trump,Washington
 Already cast my vote for Donald Trump,Bobbyda61728236,"Yuma, AZ",Donald Trump,Arizona
" Senator Collins was asked *three times* last night if she supports Donald Trump's reelection, and she refused to answer eac‚?¶",SPQ_ESQ,"Pennsylvania, USA",Donald Trump,Pennsylvania
" Biden couldn‚??t fill a high school gym, but Donald Trump (????èº) is behind in the polls? ",JWC0506,"Kentucky, USA",Donald Trump,Kentucky
 Fox News cut away from Donald Trump's campaign rally in Florida and aired Joe Biden's campaign rally speech in full.,GailReeb,"Connecticut, USA",Donald Trump,Connecticut
 It‚??s very on brand with today‚??s Republican Party to choose a MAGA rally with Donald Trump over a much larger television audien‚?¶,JoshPainter2154,"Brazos Valley, Texas",Donald Trump,Texas
 ‚??It is currently unclear whether Facebook is giving Donald Trump an unfair advantage..but it is abundantly clear Facebo‚?¶,maudlinaly,"Hawaii, USA",Donald Trump,Hawaii
" Donald Trump Jr.: ""Why aren't they talking about deaths? Oh, oh, because the number is almost nothing because we've gott‚?¶",rogueMrsJ,"California, USA",Donald Trump,California
 Donald Trump has gotten:-$885 million in subsidies for his real estate empire-$287 million of his debt canceled-A $72.9‚?¶,XrstnSaintPhoto,"Brooklyn, New York",Donald Trump,New York
 Remember... it‚??s not just Donald Trump being voted out.... it‚??s his entire family and garbage administration that‚??ll be ki‚?¶,marchmatron,"Phoenix, AZ",Donald Trump,Arizona
Lil Wayne Praises Donald Trump Over ‚??Platinum Plan‚?? Meeting ,RadioShawnSC,South Carolina,Donald Trump,South Carolina
" Jack Nicklaus Says He Voted For Donald Trump, Encourages Others To As Well If They Don‚??t Want The Country To ‚??Evolve Into‚?¶",shrstraker,"Florida, USA",Donald Trump,Florida
" Biden couldn‚??t fill a high school gym, but Donald Trump (????èº) is behind in the polls? ",adorbdeplorb,"Phoenix, AZ",Donald Trump,Arizona
" Donald Trump Jr.: ""Why aren't they talking about deaths? Oh, oh, because the number is almost nothing because we've gott‚?¶",amyglumpkin,"Daphne, AL",Donald Trump,Alabama
 ‚??My choice in the 2020 general election is between a personally offensive outsider who signs good policies into law and a‚?¶,Charleysgirl_23,"Louisiana, USA",Donald Trump,Louisiana
 At the precise moment Donald Trump was impeached for expressing concern about potential Hunter Biden corruption in Ukraine‚?¶,martfluck,"Vermont, USA",Donald Trump,Vermont
"Oof, y‚??all really hurt behind this Lil Wayne &amp; Donald Trump situation huh? I‚??m gonna let y‚??all figure out what‚??s wrong with yourself..",ZeroSkillZack,"Celina, OH",Donald Trump,Ohio
 Donald Trump is talking about China again.A reminder.#TrumpMadeInChina ,evabai,"Connecticut, USA",Donald Trump,Connecticut
 Unraveling Lindsey Graham takes bizarre shot at Donald Trump ,annita_bowman,"Oregon, USA",Donald Trump,Oregon
"Wait until people like LIL John and LIL Wayne get pushed by the left to get ""WOKE"" and denounce Donald trump, becau‚?¶ ",BrianTr03923678,"Oregon, United States, Oregon,",Donald Trump,Oregon
 There is no democracy under Donald J. Trump,sweeterthanhon,North Carolina,Donald Trump,North Carolina
" Donald Trump Jr.: ""Why aren't they talking about deaths? Oh, oh, because the number is almost nothing because we've gott‚?¶",kat_pep_,GA,Donald Trump,Georgia
 Fox News just cut off Donald Trump and aired Joe Biden instead ,a2g1215598,NJ,Donald Trump,New Jersey
" Donald Trump Jr.: ""Why aren't they talking about deaths? Oh, oh, because the number is almost nothing because we've gott‚?¶",PeabsLord,"New York, USA",Donald Trump,New York
" Philly DA Throws Down Over Trump Poll Watchers: We Won't Be Cowed By A 'Despot'. ‚??Break the law here, and I‚??ve got somet‚?¶",Beto4US,Texas,Donald Trump,Texas
 Donald Trump is something much worse than an apparent sociopath or psychopath. He is man without a personal life narrat‚?¶,CheviotCourt,"Washington, DC",Donald Trump,Washington
Former NFL Quarterback Jay Cutler Shares Jack Nicklaus‚?? Endorsement Of President Trump  via ,shrstraker,"Florida, USA",Donald Trump,Florida
" Donald Trump Jr.: ""Why aren't they talking about deaths? Oh, oh, because the number is almost nothing because we've gott‚?¶",aeharris2017,"Michigan, USA",Donald Trump,Michigan
" ‚??This is why we, two Orthodox American-Israelis and former IDF soldiers who care deeply about Israel‚??s safety, will be vot‚?¶",ArmyMcCarthy,"Texas, USA",Donald Trump,Texas
" No one deserves a more thorough drubbing on Election Day than Donald Trump.Well, maybe Lindsey Graham does,&amp; Mitch McC‚?¶",swinging_volley,"Dobbs Ferry, NY, USA",Donald Trump,New York
" Donald Trump Jr.: ""Why aren't they talking about deaths? Oh, oh, because the number is almost nothing because we've gott‚?¶",mwamsley5,Ohio,Donald Trump,Ohio
" Philly DA Throws Down Over Trump Poll Watchers: We Won't Be Cowed By A 'Despot'. ‚??Break the law here, and I‚??ve got somet‚?¶",Sissymoon1956Ce,"Washington, USA",Donald Trump,Washington
